ChID CopyNo HVBundleID HVCableID SignalCableID SiPMNo FECID FECChID
0 202 3 16 865 4704 3 20
1 202 3 16 865 4704 3 21
0 203 3 13 911 3779 3 22
1 203 3 13 911 3779 3 23
0 204 4 21 253 3776 3 24
1 204 4 21 253 3776 3 25
0 205 4 3 302 4462 3 26
1 205 4 3 302 4462 3 27
0 206 4 30 201 4403 3 28
1 206 4 30 201 4403 3 29
0 207 4 31 560 4404 3 30
1 207 4 31 560 4404 3 31
0 208 4 28 339 4405 3 32
1 208 4 28 339 4405 3 33
0 209 4 29 338 4408 3 34
1 209 4 29 338 4408 3 35
0 210 4 24 263 4407 3 36
1 210 4 24 263 4407 3 37
0 211 4 18 307 4467 3 38
1 211 4 18 307 4467 3 39
0 212 5 8 151 4409 3 40
1 212 5 8 151 4409 3 41
0 213 5 32 949 3325 3 42
1 213 5 32 949 3325 3 43
0 214 5 31 56 937 3 44
1 214 5 31 56 937 3 45
0 215 5 16 96 4521 3 46
1 215 5 16 96 4521 3 47
0 216 5 26 930 4522 3 48
1 216 5 26 930 4522 3 49
0 217 5 29 415 4473 3 50
1 217 5 29 415 4473 3 51
0 218 5 24 78 4524 3 52
1 218 5 24 78 4524 3 53
0 219 5 12 70 4525 3 54
1 219 5 12 70 4525 3 55
0 220 5 22 905 4474 3 56
1 220 5 22 905 4474 3 57
0 221 5 23 928 4527 3 58
1 221 5 23 928 4527 3 59
0 222 37 1 957 4528 3 60
1 222 37 1 957 4528 3 61
0 223 37 28 341 4529 3 62
1 223 37 28 341 4529 3 63
0 224 37 11 324 4530 3 64
1 224 37 11 324 4530 3 65
0 225 37 26 306 1150 3 66
1 225 37 26 306 1150 3 67
0 226 37 21 227 3812 3 68
1 226 37 21 227 3812 3 69
0 227 37 25 586 3813 3 70
1 227 37 25 586 3813 3 71
0 228 37 10 206 3814 3 72
1 228 37 10 206 3814 3 73
0 229 37 23 242 3815 3 74
1 229 37 23 242 3815 3 75
0 230 38 3 880 1100 3 76
1 230 38 3 880 1100 3 77
0 231 38 22 885 603 3 78
1 231 38 22 885 603 3 79
0 232 38 1 856 3818 3 80
1 232 38 1 856 3818 3 81
0 233 38 14 898 3819 3 82
1 233 38 14 898 3819 3 83
0 234 38 21 635 3820 3 84
1 234 38 21 635 3820 3 85
0 235 38 5 649 3328 3 86
1 235 38 5 649 3328 3 87
0 236 38 11 864 3322 3 88
1 236 38 11 864 3322 3 89
0 237 38 10 621 3330 3 90
1 237 38 10 621 3330 3 91
0 238 41 2 332 3323 3 92
1 238 41 2 332 3323 3 93
0 239 41 22 541 3693 3 94
1 239 41 22 541 3693 3 95
0 240 42 24 526 3327 3 96
1 240 42 24 526 3327 3 97
0 241 42 10 1573 3326 3 98
1 241 42 10 1573 3326 3 99
0 242 42 16 532 3329 3 100
1 242 42 16 532 3329 3 101
0 243 42 21 1580 3321 3 102
1 243 42 21 1580 3321 3 103
0 244 42 13 1564 3646 3 104
1 244 42 13 1564 3646 3 105
0 245 42 5 1598 1848 3 106
1 245 42 5 1598 1848 3 107
0 246 42 4 530 1846 3 108
1 246 42 4 530 1846 3 109
0 247 42 14 336 1845 3 110
1 247 42 14 336 1845 3 111
0 248 42 2 320 1844 3 112
1 248 42 2 320 1844 3 113
0 249 6 15 310 1843 3 114
1 249 6 15 310 1843 3 115
0 250 6 7 515 1842 3 116
1 250 6 7 515 1842 3 117
0 251 6 5 326 1746 3 118
1 251 6 5 326 1746 3 119
0 252 6 25 315 1748 3 120
1 252 6 25 315 1748 3 121
0 253 6 23 340 3901 3 122
1 253 6 23 340 3901 3 123
0 254 6 17 317 1841 3 124
1 254 6 17 317 1841 3 125
0 255 6 20 342 3702 3 126
1 255 6 20 342 3702 3 127
0 256 6 21 547 3705 4 0
1 256 6 21 547 3705 4 1
0 257 6 22 537 3703 4 2
1 257 6 22 537 3703 4 3
0 258 6 24 338 3704 4 4
1 258 6 24 338 3704 4 5
0 259 7 20 1608 3708 4 6
1 259 7 20 1608 3708 4 7
0 260 7 15 838 3709 4 8
1 260 7 15 838 3709 4 9
0 261 7 3 878 3707 4 10
1 261 7 3 878 3707 4 11
0 262 7 21 896 3691 4 12
1 262 7 21 896 3691 4 13
0 263 7 22 823 3710 4 14
1 263 7 22 823 3710 4 15
0 264 7 12 1751 3692 4 16
1 264 7 12 1751 3692 4 17
0 265 7 10 1754 1772 4 18
1 265 7 10 1754 1772 4 19
0 266 7 6 1752 1774 4 20
1 266 7 6 1752 1774 4 21
0 267 7 26 939 1773 4 22
1 267 7 26 939 1773 4 23
0 268 7 31 1610 1775 4 24
1 268 7 31 1610 1775 4 25
0 269 8 22 529 1776 4 26
1 269 8 22 529 1776 4 27
0 270 8 19 335 1777 4 28
1 270 8 19 335 1777 4 29
0 271 8 21 521 1778 4 30
1 271 8 21 521 1778 4 31
0 272 8 17 1599 1779 4 32
1 272 8 17 1599 1779 4 33
0 273 8 18 512 1729 4 34
1 273 8 18 512 1729 4 35
0 274 8 30 1585 1850 4 36
1 274 8 30 1585 1850 4 37
0 275 8 16 513 2771 4 38
