Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
S,22,26,4754,136,96,21,157.639,225,3909,N,37,2,55,24,34,23,1,55-24,34-23,7818
S,22,26,4754,136,96,21,157.639,225,3909,N,37,2,55,25,34,23,1,55-25,34-23,7819
S,21,29,4554,190,96,7,154.463,219.13,3866,N,32,1,55,26,34,51,1,55-26,34-51,7732
S,21,29,4554,190,96,7,154.463,219.13,3866,N,32,1,55,27,34,51,1,55-27,34-51,7733
N,17,42,2021,749,8,8,38.19,217.059,400,N,128,2,55,28,66,114,1,55-28,66-114,800
N,17,42,2021,749,8,8,38.19,217.059,400,N,128,2,55,29,66,114,1,55-29,66-114,801
S,22,24,4751,85,96,12,157.639,207,3907,N,10,4,55,30,34,41,1,55-30,34-41,7814
S,22,24,4751,85,96,12,157.639,207,3907,N,10,4,55,31,34,41,1,55-31,34-41,7815
S,16,38,1072,638,90,2,138.656,182.466,3561,N,175,2,55,32,43,61,1,55-32,43-61,7122
S,16,38,1072,638,90,2,138.656,182.466,3561,N,175,2,55,33,43,61,1,55-33,43-61,7123
S,5,58,2857,1888,77,24,104.091,186.545,2522,N,320,2,55,34,47,82,1,55-34,47-82,5044
S,5,58,2857,1888,77,24,104.091,186.545,2522,N,320,2,55,35,47,82,1,55-35,47-82,5045
S,5,59,2860,1889,77,30,104.091,189.818,2523,N,320,3,55,36,47,70,1,55-36,47-70,5046
S,5,59,2860,1889,77,30,104.091,189.818,2523,N,320,3,55,37,47,70,1,55-37,47-70,5047
S,6,58,5245,1887,77,29,107.226,190,2632,N,352,2,55,38,47,72,1,55-38,47-72,5264
S,6,58,5245,1887,77,29,107.226,190,2632,N,352,2,55,39,47,72,1,55-39,47-72,5265
N,26,9,3665,230,1,23,9.535,180,8,N,138,1,55,40,66,83,1,55-40,66-83,16
N,26,9,3665,230,1,23,9.535,180,8,N,138,1,55,41,66,83,1,55-41,66-83,17
N,12,48,1012,133,17,17,53.937,185.934,794,N,167,4,55,42,40,95,1,55-42,40-95,1588
N,12,48,1012,133,17,17,53.937,185.934,794,N,167,4,55,43,40,95,1,55-43,40-95,1589
N,12,49,1013,468,17,27,53.937,189.89,795,N,206,1,55,44,40,75,1,55-44,40-75,1590
N,12,49,1013,468,17,27,53.937,189.89,795,N,206,1,55,45,40,75,1,55-45,40-75,1591
N,11,49,791,940,17,16,57.08,183.83,886,N,102,1,55,46,40,97,1,55-46,40-97,1772
N,11,49,791,940,17,16,57.08,183.83,886,N,102,1,55,47,40,97,1,55-47,40-97,1773
S,6,60,5250,454,77,21,107.226,196.667,2634,N,352,4,55,48,47,88,1,55-48,47-88,5268
S,6,60,5250,454,77,21,107.226,196.667,2634,N,352,4,55,49,47,88,1,55-49,47-88,5269
N,12,50,1014,1034,18,3,53.937,193.846,796,N,206,2,55,50,42,59,1,55-50,42-59,1592
N,12,50,1014,1034,18,3,53.937,193.846,796,N,206,2,55,51,42,59,1,55-51,42-59,1593
N,9,56,3891,835,18,24,63.362,196.04,1085,N,169,4,55,52,42,17,1,55-52,42-17,2170
N,9,56,3891,835,18,24,63.362,196.04,1085,N,169,4,55,53,42,17,1,55-53,42-17,2171
N,10,53,4642,788,18,6,60.222,191.02,984,N,56,1,55,54,42,53,1,55-54,42-53,1968
N,10,53,4642,788,18,6,60.222,191.02,984,N,56,1,55,55,42,53,1,55-55,42-53,1969
N,9,52,3288,1015,18,9,63.362,181.782,1081,N,109,4,55,56,42,47,1,55-56,42-47,2162
N,9,52,3288,1015,18,9,63.362,181.782,1081,N,109,4,55,57,42,47,1,55-57,42-47,2163
N,9,54,3286,1018,18,23,63.362,188.911,1083,N,169,2,55,58,42,19,1,55-58,42-19,2166
N,9,54,3286,1018,18,23,63.362,188.911,1083,N,169,2,55,59,42,19,1,55-59,42-19,2167
S,8,57,5099,989,77,10,113.499,193.846,2845,N,251,1,55,60,47,110,1,55-60,47-110,5690
S,8,57,5099,989,77,10,113.499,193.846,2845,N,251,1,55,61,47,110,1,55-61,47-110,5691
N,25,12,3866,325,1,10,12.771,180,27,N,76,4,55,62,66,109,1,55-62,66-109,54
N,25,12,3866,325,1,10,12.771,180,27,N,76,4,55,63,66,109,1,55-63,66-109,55
S,1,96,2955,910,105,3,91.565,300,2107,N,57,4,55,64,61,60,1,55-64,61-60,4214
S,1,96,2955,910,105,3,91.565,300,2107,N,57,4,55,65,61,60,1,55-65,61-60,4215
S,6,87,2702,1293,113,28,107.226,286.667,2661,N,440,3,55,66,62,73,1,55-66,62-73,5322
S,6,87,2702,1293,113,28,107.226,286.667,2661,N,440,3,55,67,62,73,1,55-67,62-73,5323
N,5,92,416,938,55,30,75.909,297.818,1540,N,101,4,55,68,55,69,1,55-68,55-69,3080
N,5,92,416,938,55,30,75.909,297.818,1540,N,101,4,55,69,55,69,1,55-69,55-69,3081
N,14,76,3050,2008,45,15,47.645,329.268,653,N,236,4,55,70,60,99,1,55-70,60-99,1306
N,14,76,3050,2008,45,15,47.645,329.268,653,N,236,4,55,71,60,99,1,55-71,60-99,1307
N,13,80,906,366,45,29,50.792,326.897,739,N,1,4,55,72,60,71,1,55-72,60-71,1478
N,13,80,906,366,45,29,50.792,326.897,739,N,1,4,55,73,60,71,1,55-73,60-71,1479
N,13,81,905,297,45,4,50.792,331.034,740,N,12,1,55,74,60,121,1,55-74,60-121,1480
N,13,81,905,297,45,4,50.792,331.034,740,N,12,1,55,75,60,121,1,55-75,60-121,1481
N,16,68,2229,266,45,21,41.344,330.411,494,N,202,4,55,76,60,87,1,55-76,60-87,988
N,16,68,2229,266,45,21,41.344,330.411,494,N,202,4,55,77,60,87,1,55-77,60-87,989
N,15,72,1062,387,45,14,44.496,327.692,571,N,74,4,55,78,60,101,1,55-78,60-101,1142
N,15,72,1062,387,45,14,44.496,327.692,571,N,74,4,55,79,60,101,1,55-79,60-101,1143
S,2,99,284,1979,105,23,94.694,309.474,2224,N,161,3,55,80,61,20,1,55-80,61-20,4448
S,2,99,284,1979,105,23,94.694,309.474,2224,N,161,3,55,81,61,20,1,55-81,61-20,4449
S,15,69,762,447,124,22,135.504,313.846,3514,N,184,1,55,82,49,21,1,55-82,49-21,7028
S,15,69,762,447,124,22,135.504,313.846,3514,N,184,1,55,83,49,21,1,55-83,49-21,7029
S,15,67,764,670,124,16,135.504,304.615,3512,N,164,3,55,84,49,33,1,55-84,49-33,7024
S,15,67,764,670,124,16,135.504,304.615,3512,N,164,3,55,85,49,33,1,55-85,49-33,7025
S,12,80,822,543,118,20,126.063,312.527,3265,N,12,4,55,86,53,89,1,55-86,53-89,6530
S,12,80,822,543,118,20,126.063,312.527,3265,N,12,4,55,87,53,89,1,55-87,53-89,6531
S,4,96,3938,904,105,25,100.957,305.357,2448,H,78,4,55,88,61,16,1,55-88,61-16,4896
S,4,96,3938,904,105,25,100.957,305.357,2448,H,78,4,55,89,61,16,1,55-89,61-16,4897
S,19,54,4833,175,127,27,148.128,328.966,3781,N,65,1,55,90,51,76,1,55-90,51-76,7562
S,19,54,4833,175,127,27,148.128,328.966,3781,N,65,1,55,91,51,76,1,55-91,51-76,7563
S,16,64,4926,497,124,17,138.656,310.685,3587,N,110,4,55,92,49,31,1,55-92,49-31,7174
S,16,64,4926,497,124,17,138.656,310.685,3587,N,110,4,55,93,49,31,1,55-93,49-31,7175
S,3,98,2011,2000,105,20,97.825,309.027,2337,N,58,2,55,94,61,26,1,55-94,61-26,4674
S,3,98,2011,2000,105,20,97.825,309.027,2337,N,58,2,55,95,61,26,1,55-95,61-26,4675
S,1,102,5309,1999,105,21,91.565,318.947,2113,N,115,2,55,96,61,24,1,55-96,61-24,4226
S,1,102,5309,1999,105,21,91.565,318.947,2113,N,115,2,55,97,61,24,1,55-97,61-24,4227
S,12,78,826,339,119,26,126.063,304.615,3263,N,12,2,55,98,61,13,1,55-98,61-13,6526
S,12,78,826,339,119,26,126.063,304.615,3263,N,12,2,55,99,61,13,1,55-99,61-13,6527
S,11,82,844,455,118,5,122.92,310.213,3173,N,21,2,55,100,53,119,1,55-100,53-119,6346
S,11,82,844,455,118,5,122.92,310.213,3173,N,21,2,55,101,53,119,1,55-101,53-119,6347
S,4,100,2739,1670,105,6,100.957,318.214,2452,N,268,4,55,102,61,54,1,55-102,61-54,4904
S,4,100,2739,1670,105,6,100.957,318.214,2452,N,268,4,55,103,61,54,1,55-103,61-54,4905
S,1,101,5308,1961,105,24,91.565,315.789,2112,N,115,1,55,104,61,18,1,55-104,61-18,4224
S,1,101,5308,1961,105,24,91.565,315.789,2112,N,115,1,55,105,61,18,1,55-105,61-18,4225
S,12,79,829,259,118,16,126.063,308.571,3264,N,12,3,55,106,53,97,1,55-106,53-97,6528
S,12,79,829,259,118,16,126.063,308.571,3264,N,12,3,55,107,53,97,1,55-107,53-97,6529
S,2,98,287,1700,105,15,94.694,306.316,2223,N,161,2,55,108,61,36,1,55-108,61-36,4446
S,2,98,287,1700,105,15,94.694,306.316,2223,N,161,2,55,109,61,36,1,55-109,61-36,4447
S,11,81,302,149,119,1,122.92,306.383,3172,N,21,1,55,110,61,63,1,55-110,61-63,6344
S,11,81,302,149,119,1,122.92,306.383,3172,N,21,1,55,111,61,63,1,55-111,61-63,6345
S,18,58,743,240,127,22,144.967,325.714,3722,N,146,2,55,112,51,86,1,55-112,51-86,7444
S,18,58,743,240,127,22,144.967,325.714,3722,N,146,2,55,113,51,86,1,55-113,51-86,7445
S,2,97,288,1972,105,32,94.694,303.158,2222,N,161,1,55,114,61,2,1,55-114,61-2,4444
S,2,97,288,1972,105,32,94.694,303.158,2222,N,161,1,55,115,61,2,1,55-115,61-2,4445
S,3,95,5336,815,105,30,97.825,299.469,2334,H,167,3,55,116,61,6,1,55-116,61-6,4668
S,3,95,5336,815,105,30,97.825,299.469,2334,H,167,3,55,117,61,6,1,55-117,61-6,4669
S,9,86,4043,2037,119,3,116.638,302.97,2978,N,245,2,55,118,61,59,1,55-118,61-59,5956
S,9,86,4043,2037,119,3,116.638,302.97,2978,N,245,2,55,119,61,59,1,55-119,61-59,5957
S,2,96,258,1991,105,31,94.694,300,2221,H,208,4,55,122,61,4,1,55-122,61-4,4442
S,2,96,258,1991,105,31,94.694,300,2221,H,208,4,55,123,61,4,1,55-123,61-4,4443
S,10,86,813,121,118,15,119.778,312.245,3079,N,24,2,55,124,53,99,1,55-124,53-99,6158
S,10,86,813,121,118,15,119.778,312.245,3079,N,24,2,55,125,53,99,1,55-125,53-99,6159
S,1,97,2954,1652,105,19,91.565,303.158,2108,N,50,1,55,126,61,28,1,55-126,61-28,4216
S,1,97,2954,1652,105,19,91.565,303.158,2108,N,50,1,55,127,61,28,1,55-127,61-28,4217
N,18,37,4567,502,8,24,35.033,205.714,332,N,373,1,60,0,66,82,1,60-0,66-82,664
N,18,37,4567,502,8,24,35.033,205.714,332,N,373,1,60,1,66,82,1,60-1,66-82,665
N,19,34,1778,521,8,21,31.872,204.828,271,N,338,2,60,2,66,88,1,60-2,66-88,542
N,19,34,1778,521,8,21,31.872,204.828,271,N,338,2,60,3,66,88,1,60-3,66-88,543
N,5,65,3513,2038,25,2,75.909,209.455,1513,N,119,1,60,4,44,126,1,60-4,44-126,3026
N,5,65,3513,2038,25,2,75.909,209.455,1513,N,119,1,60,5,44,126,1,60-5,44-126,3027
N,14,48,685,137,13,25,47.645,206.341,625,N,193,4,60,8,45,79,1,60-8,45-79,1250
N,14,48,685,137,13,25,47.645,206.341,625,N,193,4,60,9,45,79,1,60-9,45-79,1251
N,18,39,5016,1567,8,27,35.033,217.143,334,N,373,3,60,12,66,76,1,60-12,66-76,668
N,18,39,5016,1567,8,27,35.033,217.143,334,N,373,3,60,13,66,76,1,60-13,66-76,669
N,14,49,2477,567,13,21,47.645,210.732,626,N,342,1,60,14,45,87,1,60-14,45-87,1252
N,14,49,2477,567,13,21,47.645,210.732,626,N,342,1,60,15,45,87,1,60-15,45-87,1253
N,10,66,3764,834,19,27,60.222,238.776,997,N,124,2,60,18,31,11,1,60-18,31-11,1994
N,10,66,3764,834,19,27,60.222,238.776,997,N,124,2,60,19,31,11,1,60-19,31-11,1995
N,11,63,777,773,19,23,57.08,237.447,900,N,97,3,60,20,31,19,1,60-20,31-19,1800
N,11,63,777,773,19,23,57.08,237.447,900,N,97,3,60,21,31,19,1,60-21,31-19,1801
N,12,60,1584,755,19,28,53.937,233.407,806,N,125,4,60,24,31,9,1,60-24,31-9,1612
N,12,60,1584,755,19,28,53.937,233.407,806,N,125,4,60,25,31,9,1,60-25,31-9,1613
N,9,68,609,817,19,10,63.362,238.812,1097,S,256,4,60,26,31,45,1,60-26,31-45,2194
N,9,68,609,817,19,10,63.362,238.812,1097,S,256,4,60,27,31,45,1,60-27,31-45,2195
N,13,58,3355,404,13,29,50.792,235.862,717,N,184,2,60,28,45,71,1,60-28,45-71,1434
N,13,58,3355,404,13,29,50.792,235.862,717,N,184,2,60,29,45,71,1,60-29,45-71,1435
N,15,51,2392,359,13,9,44.496,230.769,550,N,37,3,60,30,45,111,1,60-30,45-111,1100
N,15,51,2392,359,13,9,44.496,230.769,550,N,37,3,60,31,45,111,1,60-31,45-111,1101
N,11,64,1416,776,19,31,57.08,241.277,901,N,97,4,60,32,31,3,1,60-32,31-3,1802
N,11,64,1416,776,19,31,57.08,241.277,901,N,97,4,60,33,31,3,1,60-33,31-3,1803
N,15,54,2372,487,13,10,44.496,244.615,553,N,111,2,60,34,45,109,1,60-34,45-109,1106
N,15,54,2372,487,13,10,44.496,244.615,553,N,111,2,60,35,45,109,1,60-35,45-109,1107
N,10,65,3763,1035,19,1,60.222,235.102,996,N,124,1,60,36,31,63,1,60-36,31-63,1992
N,10,65,3763,1035,19,1,60.222,235.102,996,N,124,1,60,37,31,63,1,60-37,31-63,1993
N,17,46,4608,744,8,13,38.19,238.235,404,N,40,2,60,38,66,104,1,60-38,66-104,808
N,17,46,4608,744,8,13,38.19,238.235,404,N,40,2,60,39,66,104,1,60-39,66-104,809
N,25,14,3868,296,1,9,12.771,212.727,29,N,87,2,60,40,66,111,1,60-40,66-111,58
N,25,14,3868,296,1,9,12.771,212.727,29,N,87,2,60,41,66,111,1,60-41,66-111,59
N,3,65,927,1155,32,8,82.175,203.894,1735,N,478,1,60,42,35,114,1,60-42,35-114,3470
N,3,65,927,1155,32,8,82.175,203.894,1735,N,478,1,60,43,35,114,1,60-43,35-114,3471
N,16,51,1802,289,43,1,41.344,246.575,477,N,211,3,60,44,52,63,1,60-44,52-63,954
N,16,51,1802,289,43,1,41.344,246.575,477,N,211,3,60,45,52,63,1,60-45,52-63,955
N,26,10,3664,960,1,4,9.535,202.5,9,N,138,2,60,46,66,121,1,60-46,66-121,18
N,26,10,3664,960,1,4,9.535,202.5,9,N,138,2,60,47,66,121,1,60-47,66-121,19
N,8,70,4865,29,26,12,66.501,238.846,1200,N,62,2,60,48,33,42,1,60-48,33-42,2400
N,8,70,4865,29,26,12,66.501,238.846,1200,N,62,2,60,49,33,42,1,60-49,33-42,2401
N,17,45,1947,746,8,14,38.19,232.941,403,N,40,1,60,50,66,102,1,60-50,66-102,806
N,17,45,1947,746,8,14,38.19,232.941,403,N,40,1,60,51,66,102,1,60-51,66-102,807
N,12,61,1585,798,19,2,53.937,237.363,807,N,114,1,60,54,31,61,1,60-54,31-61,1614
N,12,61,1585,798,19,2,53.937,237.363,807,N,114,1,60,55,31,61,1,60-55,31-61,1615
N,13,57,3353,657,13,28,50.792,231.724,716,N,184,1,60,56,45,73,1,60-56,45-73,1432
N,13,57,3353,657,13,28,50.792,231.724,716,N,184,1,60,57,45,73,1,60-57,45-73,1433
N,8,71,4863,104,26,11,66.501,242.308,1201,N,62,3,60,60,33,44,1,60-60,33-44,2402
N,8,71,4863,104,26,11,66.501,242.308,1201,N,62,3,60,61,33,44,1,60-61,33-44,2403
N,23,20,939,588,2,28,19.177,201.176,85,N,180,4,60,62,49,74,1,60-62,49-74,170
N,23,20,939,588,2,28,19.177,201.176,85,N,180,4,60,63,49,74,1,60-63,49-74,171
N,6,97,707,873,56,8,72.774,320,1437,N,492,1,60,64,44,50,1,60-64,44-50,2874
N,6,97,707,873,56,8,72.774,320,1437,N,492,1,60,65,44,50,1,60-65,44-50,2875
S,12,83,1038,349,118,17,126.063,324.396,3268,N,6,3,60,70,53,95,1,60-70,53-95,6536
S,12,83,1038,349,118,17,126.063,324.396,3268,N,6,3,60,71,53,95,1,60-71,53-95,6537
S,10,87,814,84,118,9,119.778,315.918,3080,N,24,3,60,72,53,111,1,60-72,53-111,6160
S,10,87,814,84,118,9,119.778,315.918,3080,N,24,3,60,73,53,111,1,60-73,53-111,6161
S,10,88,815,78,118,25,119.778,319.592,3081,N,24,4,60,74,53,79,1,60-74,53-79,6162
S,10,88,815,78,118,25,119.778,319.592,3081,N,24,4,60,75,53,79,1,60-75,53-79,6163
N,4,98,2408,218,63,2,79.043,311.786,1656,N,252,2,60,76,48,62,1,60-76,48-62,3312
N,4,98,2408,218,63,2,79.043,311.786,1656,N,252,2,60,77,48,62,1,60-77,48-62,3313
N,10,90,1406,807,50,6,60.222,326.939,1021,N,150,2,60,78,52,54,1,60-78,52-54,2042
N,10,90,1406,807,50,6,60.222,326.939,1021,N,150,2,60,79,52,54,1,60-79,52-54,2043
S,20,45,4746,88,130,3,151.293,304.615,3830,N,57,1,60,80,56,124,1,60-80,56-124,7660
S,20,45,4746,88,130,3,151.293,304.615,3830,N,57,1,60,81,56,124,1,60-81,56-124,7661
S,21,41,4658,1,130,6,154.463,313.043,3878,N,66,5,60,82,56,118,1,60-82,56-118,7756
S,21,41,4658,1,130,6,154.463,313.043,3878,N,66,5,60,83,56,118,1,60-83,56-118,7757
S,20,46,4750,145,130,5,151.293,311.538,3831,N,57,2,60,84,56,120,1,60-84,56-120,7662
S,20,46,4750,145,130,5,151.293,311.538,3831,N,57,2,60,85,56,120,1,60-85,56-120,7663
S,20,48,4012,16,130,32,151.293,325.385,3833,N,57,4,60,86,56,66,1,60-86,56-66,7666
S,20,48,4012,16,130,32,151.293,325.385,3833,N,57,4,60,87,56,66,1,60-87,56-66,7667
N,3,98,2845,1615,63,8,82.175,309.027,1768,N,520,2,60,90,48,50,1,60-90,48-50,3536
N,3,98,2845,1615,63,8,82.175,309.027,1768,N,520,2,60,91,48,50,1,60-91,48-50,3537
N,2,100,3151,765,63,30,85.306,312.632,1883,N,521,4,60,92,48,6,1,60-92,48-6,3766
N,2,100,3151,765,63,30,85.306,312.632,1883,N,521,4,60,93,48,6,1,60-93,48-6,3767
N,3,99,2841,1637,63,24,82.175,312.212,1769,N,520,3,60,94,48,18,1,60-94,48-18,3538
N,3,99,2841,1637,63,24,82.175,312.212,1769,N,520,3,60,95,48,18,1,60-95,48-18,3539
S,22,36,4298,113,130,7,157.639,315,3919,N,48,4,60,96,56,116,1,60-96,56-116,7838
S,22,36,4298,113,130,7,157.639,315,3919,N,48,4,60,97,56,116,1,60-97,56-116,7839
N,8,89,4445,520,56,6,66.501,304.615,1219,N,172,1,60,98,44,54,1,60-98,44-54,2438
N,8,89,4445,520,56,6,66.501,304.615,1219,N,172,1,60,99,44,54,1,60-99,44-54,2439
N,8,95,4396,126,56,20,66.501,325.385,1225,N,255,3,60,100,44,26,1,60-100,44-26,2450
N,8,95,4396,126,56,20,66.501,325.385,1225,N,255,3,60,101,44,26,1,60-101,44-26,2451
S,11,86,308,28,118,18,122.92,325.532,3177,N,100,2,60,104,53,93,1,60-104,53-93,6354
S,11,86,308,28,118,18,122.92,325.532,3177,N,100,2,60,105,53,93,1,60-105,53-93,6355
S,11,85,303,50,118,26,122.92,321.702,3176,N,100,1,60,106,53,77,1,60-106,53-77,6352
S,11,85,303,50,118,26,122.92,321.702,3176,N,100,1,60,107,53,77,1,60-107,53-77,6353
N,2,99,3152,775,63,11,85.306,309.474,1882,N,521,3,60,108,48,44,1,60-108,48-44,3764
N,2,99,3152,775,63,11,85.306,309.474,1882,N,521,3,60,109,48,44,1,60-109,48-44,3765
N,4,99,511,44,63,3,79.043,315,1657,N,252,3,60,110,48,60,1,60-110,48-60,3314
N,4,99,511,44,63,3,79.043,315,1657,N,252,3,60,111,48,60,1,60-111,48-60,3315
N,5,100,415,1792,56,4,75.909,324,1548,N,378,4,60,114,44,58,1,60-114,44-58,3096
N,5,100,415,1792,56,4,75.909,324,1548,N,378,4,60,115,44,58,1,60-115,44-58,3097
N,6,98,710,925,56,5,72.774,323.333,1438,N,492,2,60,116,44,56,1,60-116,44-56,2876
N,6,98,710,925,56,5,72.774,323.333,1438,N,492,2,60,117,44,56,1,60-117,44-56,2877
N,7,95,2042,33,56,10,69.638,319.245,1329,N,227,3,60,120,44,46,1,60-120,44-46,2658
N,7,95,2042,33,56,10,69.638,319.245,1329,N,227,3,60,121,44,46,1,60-121,44-46,2659
N,8,90,4441,136,56,16,66.501,308.077,1220,N,172,2,60,122,44,34,1,60-122,44-34,2440
N,8,90,4441,136,56,16,66.501,308.077,1220,N,172,2,60,123,44,34,1,60-123,44-34,2441
N,7,92,3408,200,56,9,69.638,309.057,1326,N,230,4,60,124,44,48,1,60-124,44-48,2652
N,7,92,3408,200,56,9,69.638,309.057,1326,N,230,4,60,125,44,48,1,60-125,44-48,2653
N,7,94,3750,197,56,26,69.638,315.849,1328,N,227,2,60,126,44,14,1,60-126,44-14,2656
N,7,94,3750,197,56,26,69.638,315.849,1328,N,227,2,60,127,44,14,1,60-127,44-14,2657
N,3,66,924,1620,32,14,82.175,207.08,1736,N,478,2,61,6,35,102,1,61-6,35-102,3472
N,3,66,924,1620,32,14,82.175,207.08,1736,N,478,2,61,7,35,102,1,61-7,35-102,3473
N,1,69,1334,1134,32,31,88.435,214.737,1966,N,256,1,61,8,35,68,1,61-8,35-68,3932
N,1,69,1334,1134,32,31,88.435,214.737,1966,N,256,1,61,9,35,68,1,61-9,35-68,3933
N,10,58,3460,792,18,11,60.222,209.388,989,N,67,2,61,10,42,43,1,61-10,42-43,1978
N,10,58,3460,792,18,11,60.222,209.388,989,N,67,2,61,11,42,43,1,61-11,42-43,1979
N,12,53,1019,1031,18,20,53.937,205.714,799,N,26,1,61,12,42,25,1,61-12,42-25,1598
N,12,53,1019,1031,18,20,53.937,205.714,799,N,26,1,61,13,42,25,1,61-13,42-25,1599
S,12,54,1857,313,83,27,126.063,209.67,3239,N,101,2,61,14,31,76,1,61-14,31-76,6478
S,12,54,1857,313,83,27,126.063,209.67,3239,N,101,2,61,15,31,76,1,61-15,31-76,6479
N,15,45,2238,690,12,28,44.496,203.077,544,N,142,1,61,16,37,9,1,61-16,37-9,1088
N,15,45,2238,690,12,28,44.496,203.077,544,N,142,1,61,17,37,9,1,61-17,37-9,1089
N,3,64,928,1626,32,7,82.175,200.708,1734,N,444,4,61,18,35,116,1,61-18,35-116,3468
N,3,64,928,1626,32,7,82.175,200.708,1734,N,444,4,61,19,35,116,1,61-19,35-116,3469
S,5,64,5219,1310,76,15,104.091,206.182,2528,N,168,4,61,24,45,36,1,61-24,45-36,5056
S,5,64,5219,1310,76,15,104.091,206.182,2528,N,168,4,61,25,45,36,1,61-25,45-36,5057
S,6,62,2389,386,76,4,107.226,203.333,2636,N,273,2,61,26,45,58,1,61-26,45-58,5272
S,6,62,2389,386,76,4,107.226,203.333,2636,N,273,2,61,27,45,58,1,61-27,45-58,5273
N,12,54,1016,843,18,5,53.937,209.67,800,N,26,2,61,28,42,55,1,61-28,42-55,1600
N,12,54,1016,843,18,5,53.937,209.67,800,N,26,2,61,29,42,55,1,61-29,42-55,1601
N,13,50,4318,248,13,24,50.792,202.759,709,N,249,2,61,30,45,81,1,61-30,45-81,1418
N,13,50,4318,248,13,24,50.792,202.759,709,N,249,2,61,31,45,81,1,61-31,45-81,1419
N,7,66,3474,454,25,31,69.638,220.755,1300,N,192,2,61,40,44,68,1,61-40,44-68,2600
N,7,66,3474,454,25,31,69.638,220.755,1300,N,192,2,61,41,44,68,1,61-41,44-68,2601
N,6,65,165,329,25,20,72.774,213.333,1405,N,334,1,61,42,44,90,1,61-42,44-90,2810
N,6,65,165,329,25,20,72.774,213.333,1405,N,334,1,61,43,44,90,1,61-43,44-90,2811
N,9,60,4097,815,19,32,63.362,210.297,1089,N,35,4,61,50,31,1,1,61-50,31-1,2178
N,9,60,4097,815,19,32,63.362,210.297,1089,N,35,4,61,51,31,1,1,61-51,31-1,2179
N,2,70,3169,1164,33,25,85.306,217.895,1853,N,509,2,61,52,46,16,1,61-52,46-16,3706
N,2,70,3169,1164,33,25,85.306,217.895,1853,N,509,2,61,53,46,16,1,61-53,46-16,3707
N,3,69,921,1635,32,21,82.175,216.637,1739,N,469,1,61,56,35,88,1,61-56,35-88,3478
N,3,69,921,1635,32,21,82.175,216.637,1739,N,469,1,61,57,35,88,1,61-57,35-88,3479
N,10,62,3457,1008,19,13,60.222,224.082,993,N,70,2,61,58,31,39,1,61-58,31-39,1986
N,10,62,3457,1008,19,13,60.222,224.082,993,N,70,2,61,59,31,39,1,61-59,31-39,1987
N,3,68,922,1177,32,12,82.175,213.451,1738,N,478,4,61,62,35,106,1,61-62,35-106,3476
N,3,68,922,1177,32,12,82.175,213.451,1738,N,478,4,61,63,35,106,1,61-63,35-106,3477
N,5,109,1378,853,58,28,75.909,353.455,1557,N,312,4,61,64,51,9,1,61-64,51-9,3114
N,5,109,1378,853,58,28,75.909,353.455,1557,N,312,4,61,65,51,9,1,61-65,51-9,3115
N,6,104,838,916,57,20,72.774,343.333,1444,N,332,4,61,70,44,25,1,61-70,44-25,2888
N,6,104,838,916,57,20,72.774,343.333,1444,N,332,4,61,71,44,25,1,61-71,44-25,2889
N,25,1,3337,2061,35,30,12.771,0,16,N,466,1,61,72,51,69,1,61-72,51-69,32
N,25,1,3337,2061,35,30,12.771,0,16,N,466,1,61,73,51,69,1,61-73,51-69,33
N,6,106,835,895,57,30,72.774,350,1446,N,393,2,61,74,44,5,1,61-74,44-5,2892
N,6,106,835,895,57,30,72.774,350,1446,N,393,2,61,75,44,5,1,61-75,44-5,2893
N,5,108,1376,883,57,8,75.909,350.182,1556,N,312,3,61,76,44,49,1,61-76,44-49,3112
N,5,108,1376,883,57,8,75.909,350.182,1556,N,312,3,61,77,44,49,1,61-77,44-49,3113
N,5,106,1371,1758,57,17,75.909,343.636,1554,N,312,1,61,78,44,31,1,61-78,44-31,3108
N,5,106,1371,1758,57,17,75.909,343.636,1554,N,312,1,61,79,44,31,1,61-79,44-31,3109
N,4,108,3189,242,64,7,79.043,343.929,1666,N,380,4,61,80,61,116,1,61-80,61-116,3332
N,4,108,3189,242,64,7,79.043,343.929,1666,N,380,4,61,81,61,116,1,61-81,61-116,3333
N,3,106,2786,93,64,21,82.175,334.513,1776,N,394,2,61,82,61,88,1,61-82,61-88,3552
N,3,106,2786,93,64,21,82.175,334.513,1776,N,394,2,61,83,61,88,1,61-83,61-88,3553
N,2,111,242,57,64,27,85.306,347.368,1894,N,485,2,61,86,61,76,1,61-86,61-76,3788
N,2,111,242,57,64,27,85.306,347.368,1894,N,485,2,61,87,61,76,1,61-87,61-76,3789
N,4,106,3186,64,64,1,79.043,337.5,1664,N,380,2,61,92,61,128,1,61-92,61-128,3328
N,4,106,3186,64,64,1,79.043,337.5,1664,N,380,2,61,93,61,128,1,61-93,61-128,3329
N,11,91,588,189,51,17,57.08,344.681,928,N,242,2,61,94,58,95,1,61-94,58-95,1856
N,11,91,588,189,51,17,57.08,344.681,928,N,242,2,61,95,58,95,1,61-95,58-95,1857
N,2,110,4842,209,64,10,85.306,344.211,1893,N,485,1,61,96,61,110,1,61-96,61-110,3786
