Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
N,10,74,3309,62,48,22,60.222,268.163,1005,N,239,2,14,53,54,21,1,14-53,54-21,2011
N,2,85,1536,1617,61,24,85.306,265.263,1868,N,183,1,14,54,32,81,1,14-54,32-81,3736
N,2,85,1536,1617,61,24,85.306,265.263,1868,N,183,1,14,55,32,81,1,14-55,32-81,3737
N,5,82,756,1603,54,12,75.909,265.091,1530,N,512,2,14,56,48,105,1,14-56,48-105,3060
N,5,82,756,1603,54,12,75.909,265.091,1530,N,512,2,14,57,48,105,1,14-57,48-105,3061
N,9,76,4915,81,48,4,63.362,267.327,1105,N,96,4,14,58,54,57,1,14-58,54-57,2210
N,9,76,4915,81,48,4,63.362,267.327,1105,N,96,4,14,59,54,57,1,14-59,54-57,2211
S,16,56,3740,760,125,24,138.656,271.233,3579,N,152,4,14,60,57,82,1,14-60,57-82,7158
S,16,56,3740,760,125,24,138.656,271.233,3579,N,152,4,14,61,57,82,1,14-61,57-82,7159
N,2,86,1535,1643,61,17,85.306,268.421,1869,N,183,2,14,62,32,95,1,14-62,32-95,3738
N,2,86,1535,1643,61,17,85.306,268.421,1869,N,183,2,14,63,32,95,1,14-63,32-95,3739
N,11,29,1134,568,15,3,57.08,107.234,866,N,218,1,14,64,35,60,1,14-64,35-60,1732
N,11,29,1134,568,15,3,57.08,107.234,866,N,218,1,14,65,35,60,1,14-65,35-60,1733
N,10,29,4996,231,15,18,60.222,102.857,960,N,28,1,14,66,35,30,1,14-66,35-30,1920
N,10,29,4996,231,15,18,60.222,102.857,960,N,28,1,14,67,35,30,1,14-67,35-30,1921
N,9,29,3435,208,15,6,63.362,99.802,1058,N,76,1,14,68,35,54,1,14-68,35-54,2116
N,9,29,3435,208,15,6,63.362,99.802,1058,N,76,1,14,69,35,54,1,14-69,35-54,2117
N,10,27,4903,301,15,15,60.222,95.5102,958,N,58,3,14,70,35,36,1,14-70,35-36,1916
N,10,27,4903,301,15,15,60.222,95.5102,958,N,58,3,14,71,35,36,1,14-71,35-36,1917
N,8,33,3493,1039,21,16,66.501,110.769,1163,N,149,1,14,74,42,34,1,14-74,42-34,2326
N,8,33,3493,1039,21,16,66.501,110.769,1163,N,149,1,14,75,42,34,1,14-75,42-34,2327
N,8,31,3495,828,21,14,66.501,103.846,1161,N,145,3,14,76,42,38,1,14-76,42-38,2322
N,8,31,3495,828,21,14,66.501,103.846,1161,N,145,3,14,77,42,38,1,14-77,42-38,2323
N,11,27,3786,566,15,7,57.08,99.5745,864,N,22,3,14,78,35,52,1,14-78,35-52,1728
N,11,27,3786,566,15,7,57.08,99.5745,864,N,22,3,14,79,35,52,1,14-79,35-52,1729
S,25,5,3112,218,100,8,167.229,65.4545,3990,N,26,1,14,80,52,113,1,14-80,52-113,7980
S,25,5,3112,218,100,8,167.229,65.4545,3990,N,26,1,14,81,52,113,1,14-81,52-113,7981
N,6,34,698,2031,21,29,72.774,110,1374,N,220,2,14,82,42,8,1,14-82,42-8,2748
N,6,34,698,2031,21,29,72.774,110,1374,N,220,2,14,83,42,8,1,14-83,42-8,2749
S,16,18,1319,135,92,26,138.656,83.8356,3541,N,142,2,14,84,45,13,1,14-84,45-13,7082
S,16,18,1319,135,92,26,138.656,83.8356,3541,N,142,2,14,85,45,13,1,14-85,45-13,7083
S,14,20,1480,612,92,20,132.355,83.4146,3383,N,80,4,14,86,45,25,1,14-86,45-25,6766
S,14,20,1480,612,92,20,132.355,83.4146,3383,N,80,4,14,87,45,25,1,14-87,45-25,6767
S,15,19,182,128,92,4,135.504,83.0769,3464,N,58,3,14,88,45,57,1,14-88,45-57,6928
S,15,19,182,128,92,4,135.504,83.0769,3464,N,58,3,14,89,45,57,1,14-89,45-57,6929
S,23,10,2314,262,99,4,160.823,95.2941,3933,N,2192,2,14,90,59,121,1,14-90,59-121,7866
S,23,10,2314,262,99,4,160.823,95.2941,3933,N,2192,2,14,91,59,121,1,14-91,59-121,7867
N,6,32,697,584,21,25,72.774,103.333,1372,N,430,4,14,92,42,16,1,14-92,42-16,2744
N,6,32,697,584,21,25,72.774,103.333,1372,N,430,4,14,93,42,16,1,14-93,42-16,2745
N,5,35,97,2021,21,9,75.909,111.273,1483,N,307,3,14,94,42,48,1,14-94,42-48,2966
