X Y Interpolated_Values
4.840898559999999975e+02 3.601363299999999867e+01 9.835036854837382325e-01
5.040898559999999975e+02 3.601363299999999867e+01 9.826967033766109694e-01
5.240898560000000543e+02 3.601363299999999867e+01 9.867836134224459155e-01
5.440898560000000543e+02 3.601363299999999867e+01 9.934060320478220740e-01
5.640898560000000543e+02 3.601363299999999867e+01 9.938691064617165560e-01
5.840898560000000543e+02 3.601363299999999867e+01 9.981412881391629188e-01
6.040898560000000543e+02 3.601363299999999867e+01 1.000174702780728397e+00
6.240898560000000543e+02 3.601363299999999867e+01 9.991078465085199145e-01
6.440898560000000543e+02 3.601363299999999867e+01 1.001216570961160901e+00
6.640898560000000543e+02 3.601363299999999867e+01 1.004445151156831306e+00
6.840898560000000543e+02 3.601363299999999867e+01 1.009259476862923277e+00
7.040898560000000543e+02 3.601363299999999867e+01 1.010038365551458872e+00
7.240898560000000543e+02 3.601363299999999867e+01 1.013097301847001530e+00
7.440898560000000543e+02 3.601363299999999867e+01 1.002916514220710376e+00
7.640898560000000543e+02 3.601363299999999867e+01 1.015057349514358220e+00
7.840898560000000543e+02 3.601363299999999867e+01 9.885875380804824974e-01
8.040898560000000543e+02 3.601363299999999867e+01 1.008317746233808210e+00
2.408985600000000105e+01 4.201363299999999867e+01 9.998141418891467458e-01
4.408985599999999749e+01 4.201363299999999867e+01 9.995620084674653461e-01
6.408985599999999749e+01 4.201363299999999867e+01 9.990825361092044998e-01
8.408985599999999749e+01 4.201363299999999867e+01 9.983889377112944441e-01
1.040898559999999975e+02 4.201363299999999867e+01 9.984457086272782167e-01
1.240898559999999975e+02 4.201363299999999867e+01 9.981043087765645305e-01
1.440898559999999975e+02 4.201363299999999867e+01 9.982477675162627628e-01
1.640898559999999975e+02 4.201363299999999867e+01 9.979144548435675555e-01
1.840898559999999975e+02 4.201363299999999867e+01 9.970299720928181841e-01
2.040898559999999975e+02 4.201363299999999867e+01 9.953942220167739663e-01
2.240898559999999975e+02 4.201363299999999867e+01 9.943437440249397463e-01
2.440898559999999975e+02 4.201363299999999867e+01 9.940337425889304024e-01
2.640898559999999975e+02 4.201363299999999867e+01 9.936499345265863425e-01
2.840898559999999975e+02 4.201363299999999867e+01 9.926045282483901833e-01
3.040898559999999975e+02 4.201363299999999867e+01 9.910636735840767653e-01
3.240898559999999975e+02 4.201363299999999867e+01 9.902336647272468317e-01
3.440898559999999975e+02 4.201363299999999867e+01 9.891349795142388990e-01
3.640898559999999975e+02 4.201363299999999867e+01 9.887906210684900277e-01
3.840898559999999975e+02 4.201363299999999867e+01 9.877840671475117684e-01
4.040898559999999975e+02 4.201363299999999867e+01 9.859405901988481657e-01
4.240898559999999975e+02 4.201363299999999867e+01 9.867314520716505832e-01
4.440898559999999975e+02 4.201363299999999867e+01 9.870231133464869577e-01
4.640898559999999975e+02 4.201363299999999867e+01 9.857942885900603525e-01
4.840898559999999975e+02 4.201363299999999867e+01 9.862964777821332518e-01
5.040898559999999975e+02 4.201363299999999867e+01 9.855530033022157355e-01
5.240898560000000543e+02 4.201363299999999867e+01 9.910534688687047122e-01
5.440898560000000543e+02 4.201363299999999867e+01 9.986019742123309895e-01
5.640898560000000543e+02 4.201363299999999867e+01 9.984855783530456330e-01
5.840898560000000543e+02 4.201363299999999867e+01 1.002995106681195292e+00
6.040898560000000543e+02 4.201363299999999867e+01 1.005367785600290276e+00
6.240898560000000543e+02 4.201363299999999867e+01 1.004345383101208355e+00
