X Y Interpolated_Values
6.000000000000000000e+02 0.000000000000000000e+00 9.566339999999999844e-01
6.200000000000000000e+02 0.000000000000000000e+00 9.495552605494300691e-01
6.400000000000000000e+02 0.000000000000000000e+00 9.436520000000000463e-01
6.600000000000000000e+02 0.000000000000000000e+00 9.454764200479377489e-01
6.800000000000000000e+02 0.000000000000000000e+00 9.408490000000000464e-01
7.000000000000000000e+02 0.000000000000000000e+00 9.279669245320798510e-01
7.200000000000000000e+02 0.000000000000000000e+00 9.187699999999999756e-01
7.400000000000000000e+02 0.000000000000000000e+00 9.088323893922669594e-01
7.600000000000000000e+02 0.000000000000000000e+00 9.002339999999999787e-01
7.800000000000000000e+02 0.000000000000000000e+00 8.836207808639084949e-01
8.000000000000000000e+02 0.000000000000000000e+00 8.699620000000000131e-01
2.000000000000000000e+01 6.000000000000000000e+00 9.998234407643445953e-01
4.000000000000000000e+01 6.000000000000000000e+00 9.994283445734657434e-01
6.000000000000000000e+01 6.000000000000000000e+00 9.987738596678176206e-01
8.000000000000000000e+01 6.000000000000000000e+00 9.981816593572551133e-01
1.000000000000000000e+02 6.000000000000000000e+00 9.979946769246412774e-01
1.200000000000000000e+02 6.000000000000000000e+00 9.979862321553573112e-01
1.400000000000000000e+02 6.000000000000000000e+00 9.978203057408832066e-01
1.600000000000000000e+02 6.000000000000000000e+00 9.973342640637817835e-01
1.800000000000000000e+02 6.000000000000000000e+00 9.964788594807683086e-01
2.000000000000000000e+02 6.000000000000000000e+00 9.956424154294856166e-01
2.200000000000000000e+02 6.000000000000000000e+00 9.950703520386232626e-01
2.400000000000000000e+02 6.000000000000000000e+00 9.943002137275336327e-01
2.600000000000000000e+02 6.000000000000000000e+00 9.928656086039472362e-01
2.800000000000000000e+02 6.000000000000000000e+00 9.909473384438102217e-01
3.000000000000000000e+02 6.000000000000000000e+00 9.887896248329075544e-01
3.200000000000000000e+02 6.000000000000000000e+00 9.867638573001741298e-01
3.400000000000000000e+02 6.000000000000000000e+00 9.853799069224324914e-01
3.600000000000000000e+02 6.000000000000000000e+00 9.846488468077748690e-01
3.800000000000000000e+02 6.000000000000000000e+00 9.837906493497659000e-01
4.000000000000000000e+02 6.000000000000000000e+00 9.816053045776852448e-01
4.200000000000000000e+02 6.000000000000000000e+00 9.776851711718121951e-01
4.400000000000000000e+02 6.000000000000000000e+00 9.754593547025968148e-01
4.600000000000000000e+02 6.000000000000000000e+00 9.746221089622926215e-01
4.800000000000000000e+02 6.000000000000000000e+00 9.737267344734585883e-01
5.000000000000000000e+02 6.000000000000000000e+00 9.714329167912862939e-01
5.200000000000000000e+02 6.000000000000000000e+00 9.734907591447879982e-01
5.400000000000000000e+02 6.000000000000000000e+00 9.728715144106359070e-01
5.600000000000000000e+02 6.000000000000000000e+00 9.696856081785780734e-01
5.800000000000000000e+02 6.000000000000000000e+00 9.625802923623911767e-01
6.000000000000000000e+02 6.000000000000000000e+00 9.634234339832670191e-01
6.200000000000000000e+02 6.000000000000000000e+00 9.582516921597925563e-01
6.400000000000000000e+02 6.000000000000000000e+00 9.549613688622303753e-01
6.600000000000000000e+02 6.000000000000000000e+00 9.551825365576884774e-01
6.800000000000000000e+02 6.000000000000000000e+00 9.487012340059148841e-01
7.000000000000000000e+02 6.000000000000000000e+00 9.405288950944572512e-01
7.200000000000000000e+02 6.000000000000000000e+00 9.416693351350433616e-01
7.400000000000000000e+02 6.000000000000000000e+00 9.306713584204138190e-01
7.600000000000000000e+02 6.000000000000000000e+00 9.310426406678797839e-01
7.800000000000000000e+02 6.000000000000000000e+00 9.335061452212886079e-01
8.000000000000000000e+02 6.000000000000000000e+00 9.355868846589618926e-01
2.000000000000000000e+01 1.200000000000000000e+01 9.998377301832208630e-01
4.000000000000000000e+01 1.200000000000000000e+01 9.994479649124953236e-01
6.000000000000000000e+01 1.200000000000000000e+01 9.988376853878196959e-01
8.000000000000000000e+01 1.200000000000000000e+01 9.982814890558764365e-01
1.000000000000000000e+02 1.200000000000000000e+01 9.981237634895666622e-01
1.200000000000000000e+02 1.200000000000000000e+01 9.981374404004600409e-01
1.400000000000000000e+02 1.200000000000000000e+01 9.980342684190440794e-01
1.600000000000000000e+02 1.200000000000000000e+01 9.976036776224999070e-01
1.800000000000000000e+02 1.200000000000000000e+01 9.967337014003238016e-01
2.000000000000000000e+02 1.200000000000000000e+01 9.958758081609394575e-01
2.200000000000000000e+02 1.200000000000000000e+01 9.952222557564847083e-01
2.400000000000000000e+02 1.200000000000000000e+01 9.944573963524241389e-01
2.600000000000000000e+02 1.200000000000000000e+01 9.931231901028405584e-01
2.800000000000000000e+02 1.200000000000000000e+01 9.914223438041368519e-01
3.000000000000000000e+02 1.200000000000000000e+01 9.896159090294538441e-01
3.200000000000000000e+02 1.200000000000000000e+01 9.877704925474414255e-01
3.400000000000000000e+02 1.200000000000000000e+01 9.862646118606510637e-01
3.600000000000000000e+02 1.200000000000000000e+01 9.853837014582900178e-01
3.800000000000000000e+02 1.200000000000000000e+01 9.843600370065830329e-01
4.000000000000000000e+02 1.200000000000000000e+01 9.825104190747921962e-01
4.200000000000000000e+02 1.200000000000000000e+01 9.797186628208096604e-01
4.400000000000000000e+02 1.200000000000000000e+01 9.784452019273199852e-01
4.600000000000000000e+02 1.200000000000000000e+01 9.774497927051449819e-01
4.800000000000000000e+02 1.200000000000000000e+01 9.747506222516056917e-01
5.000000000000000000e+02 1.200000000000000000e+01 9.712193847587271556e-01
5.200000000000000000e+02 1.200000000000000000e+01 9.726082364675924241e-01
5.400000000000000000e+02 1.200000000000000000e+01 9.761527987075274693e-01
5.600000000000000000e+02 1.200000000000000000e+01 9.751601804903524684e-01
5.800000000000000000e+02 1.200000000000000000e+01 9.685082489670621131e-01
6.000000000000000000e+02 1.200000000000000000e+01 9.703882934469726385e-01
6.200000000000000000e+02 1.200000000000000000e+01 9.670836798978399429e-01
6.400000000000000000e+02 1.200000000000000000e+01 9.653408576569034727e-01
6.600000000000000000e+02 1.200000000000000000e+01 9.656131495352193728e-01
6.800000000000000000e+02 1.200000000000000000e+01 9.613906506517549966e-01
7.000000000000000000e+02 1.200000000000000000e+01 9.608417193663011391e-01
7.200000000000000000e+02 1.200000000000000000e+01 9.626409730351699334e-01
7.400000000000000000e+02 1.200000000000000000e+01 9.567750900266177583e-01
7.600000000000000000e+02 1.200000000000000000e+01 9.548937760263724872e-01
7.800000000000000000e+02 1.200000000000000000e+01 9.572520251832642435e-01
8.000000000000000000e+02 1.200000000000000000e+01 9.430299309578120681e-01
2.000000000000000000e+01 1.800000000000000000e+01 9.998519239844322337e-01
4.000000000000000000e+01 1.800000000000000000e+01 9.994669252300878437e-01
6.000000000000000000e+01 1.800000000000000000e+01 9.988957584384355881e-01
8.000000000000000000e+01 1.800000000000000000e+01 9.983756450369445368e-01
1.000000000000000000e+02 1.800000000000000000e+01 9.982536951328138120e-01
1.200000000000000000e+02 1.800000000000000000e+01 9.982844425767609664e-01
1.400000000000000000e+02 1.800000000000000000e+01 9.982462397170838164e-01
1.600000000000000000e+02 1.800000000000000000e+01 9.978732030530421682e-01
1.800000000000000000e+02 1.800000000000000000e+01 9.969917982470245521e-01
2.000000000000000000e+02 1.800000000000000000e+01 9.961209133868417220e-01
2.200000000000000000e+02 1.800000000000000000e+01 9.953938055282525177e-01
2.400000000000000000e+02 1.800000000000000000e+01 9.946390950438370737e-01
2.600000000000000000e+02 1.800000000000000000e+01 9.933987666030476005e-01
2.800000000000000000e+02 1.800000000000000000e+01 9.919129958208832143e-01
3.000000000000000000e+02 1.800000000000000000e+01 9.904292286737572670e-01
3.200000000000000000e+02 1.800000000000000000e+01 9.887580180484426551e-01
3.400000000000000000e+02 1.800000000000000000e+01 9.872545464264064208e-01
3.600000000000000000e+02 1.800000000000000000e+01 9.861876630319716952e-01
3.800000000000000000e+02 1.800000000000000000e+01 9.850945280794191072e-01
4.000000000000000000e+02 1.800000000000000000e+01 9.835582262377379203e-01
4.200000000000000000e+02 1.800000000000000000e+01 9.815783602829309951e-01
4.400000000000000000e+02 1.800000000000000000e+01 9.806374245800772993e-01
4.600000000000000000e+02 1.800000000000000000e+01 9.799173025676665150e-01
4.800000000000000000e+02 1.800000000000000000e+01 9.761501832966296144e-01
5.000000000000000000e+02 1.800000000000000000e+01 9.716283356689855433e-01
5.200000000000000000e+02 1.800000000000000000e+01 9.726745232539806274e-01
5.400000000000000000e+02 1.800000000000000000e+01 9.803423914494465707e-01
5.600000000000000000e+02 1.800000000000000000e+01 9.807464127847986823e-01
5.800000000000000000e+02 1.800000000000000000e+01 9.751361073557406334e-01
6.000000000000000000e+02 1.800000000000000000e+01 9.772750212558876104e-01
6.200000000000000000e+02 1.800000000000000000e+01 9.757338912427814259e-01
6.400000000000000000e+02 1.800000000000000000e+01 9.752757633222821632e-01
6.600000000000000000e+02 1.800000000000000000e+01 9.756502214946591867e-01
6.800000000000000000e+02 1.800000000000000000e+01 9.738150829339863312e-01
7.000000000000000000e+02 1.800000000000000000e+01 9.766495845124757436e-01
7.200000000000000000e+02 1.800000000000000000e+01 9.790764085056752331e-01
7.400000000000000000e+02 1.800000000000000000e+01 9.734084041434810652e-01
7.600000000000000000e+02 1.800000000000000000e+01 9.716320794444605058e-01
7.800000000000000000e+02 1.800000000000000000e+01 9.706424670116405862e-01
8.000000000000000000e+02 1.800000000000000000e+01 9.507080480109025844e-01
2.000000000000000000e+01 2.400000000000000000e+01 9.998660723648755688e-01
