X Y Interpolated_Values
3.800000000000000000e+02 6.000000000000000000e+00 9.836043470445898773e-01
4.000000000000000000e+02 6.000000000000000000e+00 9.818317251458751338e-01
4.200000000000000000e+02 6.000000000000000000e+00 9.805746261234151717e-01
4.400000000000000000e+02 6.000000000000000000e+00 9.791600307336006948e-01
4.600000000000000000e+02 6.000000000000000000e+00 9.771355279938758187e-01
4.800000000000000000e+02 6.000000000000000000e+00 9.747017530799576557e-01
5.000000000000000000e+02 6.000000000000000000e+00 9.723293782490731729e-01
5.200000000000000000e+02 6.000000000000000000e+00 9.695848518922862702e-01
5.400000000000000000e+02 6.000000000000000000e+00 9.642887212341051395e-01
5.600000000000000000e+02 6.000000000000000000e+00 9.615093661084237464e-01
5.800000000000000000e+02 6.000000000000000000e+00 9.643711156901624282e-01
6.000000000000000000e+02 6.000000000000000000e+00 9.655452757515335938e-01
6.200000000000000000e+02 6.000000000000000000e+00 9.596468266333260111e-01
6.400000000000000000e+02 6.000000000000000000e+00 9.567145054936012638e-01
6.600000000000000000e+02 6.000000000000000000e+00 9.559001841497627439e-01
6.800000000000000000e+02 6.000000000000000000e+00 9.497556403460707397e-01
7.000000000000000000e+02 6.000000000000000000e+00 9.449037956505064173e-01
7.200000000000000000e+02 6.000000000000000000e+00 9.462810516349949852e-01
7.400000000000000000e+02 6.000000000000000000e+00 9.302012151217697866e-01
7.600000000000000000e+02 6.000000000000000000e+00 9.338660620079763941e-01
7.800000000000000000e+02 6.000000000000000000e+00 9.389944968455388175e-01
8.000000000000000000e+02 6.000000000000000000e+00 9.496133386839112900e-01
2.000000000000000000e+01 1.200000000000000000e+01 9.997679162174466505e-01
4.000000000000000000e+01 1.200000000000000000e+01 9.995802149480813581e-01
6.000000000000000000e+01 1.200000000000000000e+01 9.995113373702226855e-01
8.000000000000000000e+01 1.200000000000000000e+01 9.994652755460758931e-01
1.000000000000000000e+02 1.200000000000000000e+01 9.993505185829714144e-01
1.200000000000000000e+02 1.200000000000000000e+01 9.992096054413927009e-01
1.400000000000000000e+02 1.200000000000000000e+01 9.991007732092623828e-01
1.600000000000000000e+02 1.200000000000000000e+01 9.987353020959869321e-01
1.800000000000000000e+02 1.200000000000000000e+01 9.976426041036762227e-01
2.000000000000000000e+02 1.200000000000000000e+01 9.963259065404591608e-01
2.200000000000000000e+02 1.200000000000000000e+01 9.953950032783960289e-01
2.400000000000000000e+02 1.200000000000000000e+01 9.945901344686750578e-01
2.600000000000000000e+02 1.200000000000000000e+01 9.934806052240754415e-01
2.800000000000000000e+02 1.200000000000000000e+01 9.921960209049501822e-01
3.000000000000000000e+02 1.200000000000000000e+01 9.906964516117137132e-01
3.200000000000000000e+02 1.200000000000000000e+01 9.890116940885066432e-01
3.400000000000000000e+02 1.200000000000000000e+01 9.875503814629476018e-01
3.600000000000000000e+02 1.200000000000000000e+01 9.862586185057896637e-01
3.800000000000000000e+02 1.200000000000000000e+01 9.844093607401311896e-01
4.000000000000000000e+02 1.200000000000000000e+01 9.827793939108862009e-01
4.200000000000000000e+02 1.200000000000000000e+01 9.814269745387895760e-01
4.400000000000000000e+02 1.200000000000000000e+01 9.800613521724057531e-01
4.600000000000000000e+02 1.200000000000000000e+01 9.783165215594891162e-01
4.800000000000000000e+02 1.200000000000000000e+01 9.762755652293177988e-01
5.000000000000000000e+02 1.200000000000000000e+01 9.747257619287306163e-01
5.200000000000000000e+02 1.200000000000000000e+01 9.735485836983877039e-01
5.400000000000000000e+02 1.200000000000000000e+01 9.715795480420001962e-01
5.600000000000000000e+02 1.200000000000000000e+01 9.696396544650782712e-01
5.800000000000000000e+02 1.200000000000000000e+01 9.712899741949333476e-01
6.000000000000000000e+02 1.200000000000000000e+01 9.724057874756755204e-01
6.200000000000000000e+02 1.200000000000000000e+01 9.681134255048582382e-01
6.400000000000000000e+02 1.200000000000000000e+01 9.666892785439794578e-01
6.600000000000000000e+02 1.200000000000000000e+01 9.663984917953363230e-01
6.800000000000000000e+02 1.200000000000000000e+01 9.623561726929310556e-01
7.000000000000000000e+02 1.200000000000000000e+01 9.635732845962228232e-01
7.200000000000000000e+02 1.200000000000000000e+01 9.652086941581765611e-01
7.400000000000000000e+02 1.200000000000000000e+01 9.556815421999335092e-01
7.600000000000000000e+02 1.200000000000000000e+01 9.545969124981541487e-01
7.800000000000000000e+02 1.200000000000000000e+01 9.625088650174143945e-01
8.000000000000000000e+02 1.200000000000000000e+01 9.434993507915266919e-01
2.000000000000000000e+01 1.800000000000000000e+01 9.997941570462794969e-01
4.000000000000000000e+01 1.800000000000000000e+01 9.996165390323398237e-01
6.000000000000000000e+01 1.800000000000000000e+01 9.995527396760373051e-01
8.000000000000000000e+01 1.800000000000000000e+01 9.995165333207902680e-01
1.000000000000000000e+02 1.800000000000000000e+01 9.994292828432976838e-01
1.200000000000000000e+02 1.800000000000000000e+01 9.992928429571639182e-01
1.400000000000000000e+02 1.800000000000000000e+01 9.992103532594656112e-01
1.600000000000000000e+02 1.800000000000000000e+01 9.989191381121065305e-01
1.800000000000000000e+02 1.800000000000000000e+01 9.979328486199245951e-01
2.000000000000000000e+02 1.800000000000000000e+01 9.966517623537263226e-01
2.200000000000000000e+02 1.800000000000000000e+01 9.956827957679906804e-01
2.400000000000000000e+02 1.800000000000000000e+01 9.948170024474968232e-01
2.600000000000000000e+02 1.800000000000000000e+01 9.936410359516794077e-01
2.800000000000000000e+02 1.800000000000000000e+01 9.924892437501884324e-01
3.000000000000000000e+02 1.800000000000000000e+01 9.913367642434660620e-01
3.200000000000000000e+02 1.800000000000000000e+01 9.898656230098136222e-01
3.400000000000000000e+02 1.800000000000000000e+01 9.884256127731405606e-01
3.600000000000000000e+02 1.800000000000000000e+01 9.869228164254865154e-01
3.800000000000000000e+02 1.800000000000000000e+01 9.853007781040391544e-01
4.000000000000000000e+02 1.800000000000000000e+01 9.837943097625226896e-01
4.200000000000000000e+02 1.800000000000000000e+01 9.825315476912849233e-01
4.400000000000000000e+02 1.800000000000000000e+01 9.813682522927347218e-01
4.600000000000000000e+02 1.800000000000000000e+01 9.797778908050305269e-01
4.800000000000000000e+02 1.800000000000000000e+01 9.785180779879266710e-01
5.000000000000000000e+02 1.800000000000000000e+01 9.777903870239259554e-01
5.200000000000000000e+02 1.800000000000000000e+01 9.773753876454333023e-01
5.400000000000000000e+02 1.800000000000000000e+01 9.784668256517219387e-01
5.600000000000000000e+02 1.800000000000000000e+01 9.772429272095046748e-01
5.800000000000000000e+02 1.800000000000000000e+01 9.782830451094346458e-01
6.000000000000000000e+02 1.800000000000000000e+01 9.791964425202384081e-01
6.200000000000000000e+02 1.800000000000000000e+01 9.765314864518868099e-01
6.400000000000000000e+02 1.800000000000000000e+01 9.766012401150807598e-01
6.600000000000000000e+02 1.800000000000000000e+01 9.764619704391910293e-01
6.800000000000000000e+02 1.800000000000000000e+01 9.745981226058985092e-01
7.000000000000000000e+02 1.800000000000000000e+01 9.783249168326473288e-01
7.200000000000000000e+02 1.800000000000000000e+01 9.805466305690874185e-01
7.400000000000000000e+02 1.800000000000000000e+01 9.709233843254848617e-01
7.600000000000000000e+02 1.800000000000000000e+01 9.691105491261264859e-01
7.800000000000000000e+02 1.800000000000000000e+01 9.717763642907075727e-01
8.000000000000000000e+02 1.800000000000000000e+01 9.440599337387095558e-01
2.000000000000000000e+01 2.400000000000000000e+01 9.998190492137064567e-01
4.000000000000000000e+01 2.400000000000000000e+01 9.996519761741746724e-01
6.000000000000000000e+01 2.400000000000000000e+01 9.995926796137517556e-01
8.000000000000000000e+01 2.400000000000000000e+01 9.995653865344845679e-01
1.000000000000000000e+02 2.400000000000000000e+01 9.995077911565231066e-01
1.200000000000000000e+02 2.400000000000000000e+01 9.993727164300603150e-01
1.400000000000000000e+02 2.400000000000000000e+01 9.993233352442308925e-01
